MSCW,Area,Module,Feature,Task,Profile,MinDays,RealDays,MaxDays,Contingency,EstimatedDays,EstimatedPrice,potential_issues
1 Must Have,01 Analyze & Design,Overall,Technical Analysis,Gather requirements from RealEstateCo stakeholders and develop project scope document,1 Analyst,2.0,4,6,I don't know what this feature means -HS,5,1000,"['Scope changes', 'Lack of clarity in requirements']"
1 Must Have,01 Analyze & Design,Overall,Functional Analysis,Create functional specifications document for the platform,2 Consultant Technical,2.0,3,4,I don't know what this feature means -HS,4,800,"['Scope changes', 'Lack of clarity in requirements']"
1 Must Have,03 Setup,Overall,Setup Projects,Set up project management tools (e.g. Jira) and source control (e.g. Git) for the team,0 Blended Overall dev,0.5,1,2,I don't know what this feature means -HS,1,200,"['Issues with tool integration', 'Training team members on new tools']"
1 Must Have,03 Setup,Overall,Setup Environment + Azure,"Set up development, testing, and production environments in Azure",0 Blended Overall dev,1.0,2,3,I don't know what this feature means -HS,3,600,"['Azure setup issues', 'Integration issues with other tools']"
1 Must Have,04 Development,Frontend,User Interface (UI),Design and develop the property listing UI with search and filter functionality,0 Blended FE dev,3.0,5,7,I don't know what this feature means -HS,6,1200,"['Usability issues', 'Browser compatibility issues']"
1 Must Have,04 Development,Frontend,User Experience (UX),Develop a seamless user experience across devices,0 Blended FE dev,2.0,3,4,I don't know what this feature means -HS,3,600,"['Mobile responsiveness issues', 'Usability issues']"
1 Must Have,04 Development,Middleware,Authentication & Authorizations,Implement secure user authentication and authorization system,0 Blended MW dev,2.0,3,4,I don't know what this feature means -HS,4,800,"['Security concerns', 'Integration issues with other modules']"
1 Must Have,04 Development,Middleware,Filtering / search,Develop property search and filter functionality,0 Blended MW dev,2.0,3,4,I don't know what this feature means -HS,4,800,"['Performance issues with large datasets', 'Usability issues']"
1 Must Have,04 Development,Middleware,Notifications,Develop a notification system for users and admins,0 Blended MW dev,2.0,3,4,I don't know what this feature means -HS,4,800,"['Integration issues with other modules', 'Usability issues']"
1 Must Have,04 Development,Middleware,APIs for Data Access,"Develop REST APIs for accessing and updating property listings, user profiles, and appointment details",0 Blended MW dev,3.0,5,7,I don't know what this feature means -HS,6,1200,"['API security concerns', 'Integration issues with other modules']"
1 Must Have,04 Development,Security,Security Review,Perform a security review of the platform and implement necessary measures,3 Senior Consultant Technical,2.0,4,6,I don't know what this feature means -HS,5,1000,"['Integration issues with other modules', 'Security concerns']"
